npsn,name,status,grade,district_id,district,regency_id,regency,province_id,province,latitude,longitude
P9997046,PKBM OLIHTA,SWASTA,PKBM,71899,Kec. Sitelu Tali Urang Julu,71800,Kab. Pakpak Bharat,70000,Prov. Sumatera Utara,0,0
P2961119,PKBM MUTHIA HARAPAN MANDIRI,SWASTA,PKBM,20810,Kec. Cicalengka,20800,Kab. Bandung,20000,Prov. Jawa Barat,-6.986177,107.840074
P9984257,PKBM MAHLIGAI SEJAHTERA,SWASTA,PKBM,61602,Kec. Krueng Sabee,61600,Kab. Aceh Jaya,60000,Prov. Aceh,4.6177945,95.6277794
P9954184,PKBM BANGKIT KEDOYO,SWASTA,PKBM,51619,Kec. Sendang,51600,Kab. Tulungagung,50000,Prov. Jawa Timur,-7.9769,111.8785
P9962741,PKBM AWIDAKEBO,SWASTA,PKBM,251008,Kec. Paniai Barat,251000,Kab. Paniai,250000,Prov. Papua,-3.8071746,136.2147992
P2966292,PKBM FATHUL HUDA,SWASTA,PKBM,16101,Kec. Penjaringan,16100,Kota Jakarta Utara,10000,Prov. D.K.I. Jakarta,-6.112988,106.724257
P2970270,PKBM PERMATA HIJAU,SWASTA,PKBM,131310,Kec. Sungai Raya,131300,Kab. Kuburaya,130000,Prov. Kalimantan Barat,-0.0838,109.3824
P2966751,PKBM ANGREK BEDENG TUJUH,SWASTA,PKBM,110118,Kec. Tungkal Jaya,110100,Kab. Musi Banyuasin,110000,Prov. Sumatera Selatan,-2.3206,104.5218
P9996554,PKBM INSAN SATYA GUNA ( INTAN ),SWASTA,PKBM,286307,Kec. Setu,286300,Kota Tangerang Selatan,280000,Prov. Banten,-6.3365176,106.6567133
P2964105,PKBM Handayani,SWASTA,PKBM,32911,Kec. Tanjung,32900,Kab. Brebes,30000,Prov. Jawa Tengah,-6.874491,108.864391
P2970145,PKBM AL MUBAROK,SWASTA,PKBM,31502,Kec. Karangrayung,31500,Kab. Grobogan,30000,Prov. Jawa Tengah,-7.0859,110.7917
P2962434,PKBM PURNAMA PUSAKA,SWASTA,PKBM,21920,Kec. Pusakanagara,21900,Kab. Subang,20000,Prov. Jawa Barat,-6.268788,107.878793
P2966711,PKBM SEKAR WANGI,SWASTA,PKBM,260221,Kec. Curup Selatan,260200,Kab. Rejang Lebong,260000,Prov. Bengkulu,-3.4316,102.5728
P9956958,PKBM JAYA BERSAMA,SWASTA,PKBM,290109,Kec. Sungailiat,290100,Kab. Bangka,290000,Prov. Kepulauan Bangka Belitung,-1.8815277,106.1278299
P2963864,PKBM NUSA INDAH,SWASTA,PKBM,50726,Kec. Brondong,50700,Kab. Lamongan,50000,Prov. Jawa Timur,-6.9076,112.2565
P9996803,PKBM ALKHOER,SWASTA,PKBM,20706,Kec. Tanggeung,20700,Kab. Cianjur,20000,Prov. Jawa Barat,-7.2592492,107.139624
P9984590,PKBM RESTU AYAH BUNDA,SWASTA,PKBM,150923,Kec. Pulau Laut Tanjung Selayar,150900,Kab. Kotabaru,150000,Prov. Kalimantan Selatan,-4.003628,116.0627173
P2964464,PKBM ICHSAN,SWASTA,PKBM,200227,Kec. Batalaiworu,200200,Kab. Muna,200000,Prov. Sulawesi Tenggara,-4.7974,122.7252
P9954309,PKBM LINTAS,SWASTA,PKBM,253101,Kec. Kobakma,253100,Kab. Membramo Tengah,250000,Prov. Papua,-3.6233,139.2412
