npsn,name,status,grade,district_id,district,regency_id,regency,province_id,province,latitude,longitude
30107765,SMAN 3 MANDOR,NEGERI,SMA,130905,Kec. Mandor,130900,Kab. Landak,130000,Prov. Kalimantan Barat,0.3864,109.4752
20606297,SMAS AL KHAIRIYAH 2,SWASTA,SMA,286005,Kec. Grogol,286000,Kota Cilegon,280000,Prov. Banten,-5.9869,106.032
69762781,SMA NEGERI 5 TAPUNG,NEGERI,SMA,90108,Kec. Tapung,90100,Kab. Kampar,90000,Prov. Riau,0.4884,101.3358
10495729,SMAS NUR HASANAH,SWASTA,SMA,91005,Kec. Bagan Sinembah,91000,Kab. Rokan Hilir,90000,Prov. Riau,1.6148038,100.4532393
69956386,SMA NURSYA,SWASTA,SMA,190406,Kec. Galesong Utara,190400,Kab. Takalar,190000,Prov. Sulawesi Selatan,-5.2372,119.388
10258027,SMAS HARAPAN BATANG SERANGAN,SWASTA,SMA,70209,Kec. Batang Serangan,70200,Kab. Langkat,70000,Prov. Sumatera Utara,3.7185,98.1814
30404584,SMAN 9 BALIKPAPAN UTARA,NEGERI,SMA,166103,Kec. Balikpapan Utara,166100,Kota Balikpapan,160000,Prov. Kalimantan Timur,-1.1453,116.8759
20605365,SMAS PGRI KRAGILAN,SWASTA,SMA,280413,Kec. Kragilan,280400,Kab. Serang,280000,Prov. Banten,-6.1393,106.2895
50303809,SMA MUHAMMADIYAH WAINGAPU,SWASTA,SMA,241207,Kec. Kota Waingapu,241200,Kab. Sumba Timur,240000,Prov. Nusa Tenggara Timur,-9.649003,120.264461
50202395,SMAS BIRRUL WALIDAIN NW RENSING,SWASTA,SMA,230314,Kec. Sakra Barat,230300,Kab. Lombok Timur,230000,Prov. Nusa Tenggara Barat,-8.7228,116.4632
20606831,SMAN 5 TANGERANG,NEGERI,SMA,286110,Kec. Karawaci,286100,Kota Tangerang,280000,Prov. Banten,-6.2046,106.6136
69900126,SMA ISLAM AL-ISHLAH,SWASTA,SMA,52810,Kec. Guluk Guluk,52800,Kab. Sumenep,50000,Prov. Jawa Timur,-7.043904,113.658868
50201383,SMAS NW LENDANG KEKAH,SWASTA,SMA,230209,Kec. Batukliang,230200,Kab. Lombok Tengah,230000,Prov. Nusa Tenggara Barat,-8.5955767,116.3287083
20327936,SMAS AL MUAYYAD SURAKARTA,SWASTA,SMA,36101,Kec. Laweyan,36100,Kota Surakarta,30000,Prov. Jawa Tengah,-7.567294,110.801019
10498632,SMAN 8 MANDAU,NEGERI,SMA,90201,Kec. Mandau,90200,Kab. Bengkalis,90000,Prov. Riau,1.2924,101.1917
10901015,SMAS PERGIB 3 GANTUNG,SWASTA,SMA,290602,Kec. Gantung,290600,Kab. Belitung Timur,290000,Prov. Kepulauan Bangka Belitung,-2.9667117,108.15242
20511861,SMAS ISLAM GURAH,SWASTA,SMA,51316,Kec. Gurah,51300,Kab. Kediri,50000,Prov. Jawa Timur,-7.8095,112.0888
69727960,SMAS NURMILAD BOARDING SCHOOL,SWASTA,SMA,190804,Kec. Bola,190800,Kab. Wajo,190000,Prov. Sulawesi Selatan,-4.1634,120.1957
20237986,SMAN 1 CIKARANG BARAT,NEGERI,SMA,22218,Kec. Cikarang Barat,22200,Kab. Bekasi,20000,Prov. Jawa Barat,-6.26,107.125
20216208,SMAS ISLAM AT-TAQWA KANDANGHAUR,SWASTA,SMA,21819,Kec. Kandanghaur,21800,Kab. Indramayu,20000,Prov. Jawa Barat,-6.3546,108.1066
20500448,SMAS UMAR MAS UD,SWASTA,SMA,50117,Kec. Sangkapura,50100,Kab. Gresik,50000,Prov. Jawa Timur,-5.8337,112.6142
20223047,SMAS SANDIKTA,SWASTA,SMA,26512,Kec. Pondok Melati,26500,Kota Bekasi,20000,Prov. Jawa Barat,-6.3,106.9237
69725963,SMA Negeri 12 Seram Bagian Timur,NEGERI,SMA,210607,Kec. Siwalalat,210600,Kab. Seram Bagian Timur,210000,Prov. Maluku,-3.2583,130.1621
10303218,SMAN 1 KOTO BARU,NEGERI,SMA,81202,Kec. Koto Baru,81200,Kab. Dharmasraya,80000,Prov. Sumatera Barat,-1.09705,101.747217
69762629,SMAN 1 BUNGURAN TENGAH,NEGERI,SMA,310318,Kec. Bunguran Tengah,310300,Kab. Natuna,310000,Prov. Kepulauan Riau,3.8929,108.2374
69856639,SMA BHAKTI NUSA,SWASTA,SMA,90514,Kec. Pelangiran,90500,Kab. Indragiri Hilir,90000,Prov. Riau,0.157306,103.340127
