nama_sekolah,npsn,sekolah_id_enkrip
SKB WAKATOBI,P9954252,7348ED9EBCBB773D7F89                                                                                
SKB Asahan,P9959919,6AB96CE6C572990D831D                                                                                
SKB MODAYAG,P9962959,F51DD61176EA9D376B60                                                                                
SATUAN PENDIDIKAN NONFORMAL SANGGAR KEGIATAN BELAJAR TENGKU SOELOENG TJANTIK,P9996166,130D9629D4F57B692174                                                                                
Satuan Pendidikan Nonformal SKB,P9947947,7650EAB9F5AD3AD15A6B                                                                                
SKB Minahasa Tenggara,P9970667,F0C89BE520B8DDFC0D3D                                                                                
SKB Kota Mataram,P9962879,DD34A42AAC2D750FE291                                                                                
SKB BARITO UTARA,P9960028,F96A964A1B31565E850F                                                                                
SPNF SKB BANGKA SELATAN,P2965536,A1AC29A5EF8BF2ADDECA                                                                                
SKB BENUA,P9957004,C2543D4D8E97106257D0                                                                                
SPNF SKB KOTA PEKANBARU,P9954382,DD573DFE86493A1A37F7                                                                                
SKB SABU RAIJUA,P9954191,FD369939061B7E04F6C8                                                                                
SKB WAWONII,P9962961,555E52E2D2EB61CA42CC                                                                                
SPNF SKB  SIJUNJUNG,P9959845,4F7CFEE30D6B5E96407C                                                                                
SKB Borong,P9952491,CB509BB235B3C2678BB6                                                                                
SKB ATINGGOLA,P9959851,069A2496F468D8E6ED6B                                                                                
SANGGAR KEGIATAN BELAJAR KABUPATEN TANA TIDUNG (SPNF SKB KABUPATEN TANA TIDUNG),P9997290,785032E0DAF61404C02C                                                                                
SKB KABUPATEN ACEH TENGAH,P9963004,8D478BEBCF85764BDE40                                                                                
SKB KABUPATEN LINGGA,P9997380,61CCED9F1367288F0D43                                                                                
SKB Kab. Barito Kuala,P9956886,368FBFBA6D721546E88E                                                                                
SKB KOTA MALANG,P9952737,BDFCE39FEDD309815452                                                                                
SPNF SKB MAMASA,P9952702,FF0A86E9647BD0716C3C                                                                                
SKB MAJENE,P9962984,B13459A1C4A1BD5844F2                                                                                
SKB KOTA BANDAR LAMPUNG,P9963099,53FB58793F5855B3C468                                                                                
SKB KWANDANG,P9959850,5837CF96FFAD2614141D                                                                                
SPNF SANGGAR KEGIATAN BELAJAR KABUPATEN KEEROM,P9970283,2CF4B3BB0A3D54FE9A56                                                                                
SKB KULON PROGO,P9948108,FF38A6BC6A2E0BEDBC67                                                                                
SKB TENGGARONG,P9952678,B6697EA1C5F90D9F9358                                                                                
 SKB KOTABARU,P9954362,E07D6AE14293A90B7A09                                                                                
SKB KABUPATEN LAHAT,P9963051,162E6F22AEA328B127A8                                                                                
UPTD SPNF SKB BIREUEN,P9960024,0FD507BA5585D48AE606                                                                                
SKB MOJOAGUNG,P9948474,7C1BC4ACF40503747FDA                                                                                
SPN SKB KOTA KENDARI,P9957060,7025375F6AF8EA70B58D                                                                                
SKB BATUDAA,P9948431,E34A748E8DAEEACF61C0                                                                                
SKB TOMBARIRI,P9952767,486A1B1C975EFC40EFE8                                                                                
SKB TOMBULU,P9952766,078005BB7C55F24F845A                                                                                
SKB SINJAI,P9970185,9E683DBEFB4A1356368B                                                                                
SKB KOTA PARIAMAN,P9963035,8976423C407A9C915E2F                                                                                
SKB Negeri Mempawah,P9962902,F74A42C774145F338760                                                                                
SKB KOTA BOGOR,P9970685,A343E30D5EBED5BA0F2E                                                                                
UPTD SKB MAGETAN,P9959866,39B799CAC350676FEE4F                                                                                
SKB KAB. BOGOR,P9963149,53AA78430A97FB359DCE                                                                                
SPNF SKB LAMPUNG BARAT,P9956897,A4D173195A99DA44BFF3                                                                                
SKB KABUPATEN BENGKAYANG,P9970576,A155241AA76B4109A818                                                                                
SKB Negeri Poso,P9952738,CA4921BFDB221907E66B                                                                                
SKB Balikpapan Barat,P9952496,A067E16AAC46560A7E2D                                                                                
SKB PULUBALA,P9997431,2E3B85D7D8298E11A8BC                                                                                
SKB KABUPATEN SUPIORI,P9984878,E002B4B795CA4F50C3EA                                                                                
SPNF SKB Merauke,P9952804,C83E1373240E93BF4E99                                                                                
SKB BILUHU,P9997430,21C0D1275DD81F97025B                                                                                
SKB HALMAHERA UTARA,P9963073,8B27FA7F51479B799A69                                                                                
SKB HULU SUNGAI SELATAN,P9962718,EC5609BE40EB9EE26E3B                                                                                
SKB Kabupaten Agam,P9962926,13AF9882644850E52534                                                                                
SKB MUTIARA PELANGI KASIH,P9984361,8D2B1A7A6D9F559C1366                                                                                
SKB BARRU,P9970089,BCB3981899D9377B2ECA                                                                                
SKB KOTA BANGUN,P9952677,9684B7340903703E99A3                                                                                
SKB LAMPUNG TENGAH,P9956789,F9852ADA8A603851316F                                                                                
UPT SKB BELITUNG,P9956944,A0B391986C34E277DA7F                                                                                
SPNF SANGGAR KEGIATAN BELAJAR,P9984657,FC52B0C0B9D143D18292                                                                                
SPNF SKB KOTA LHOKSEUMAWE,P9947923,24667464FF9939DD7BB0                                                                                
SATUAN PENDIDIKAN NON FORMAL SANGGAR KEGIATAN BELAJAR (SKB) BARITO SELATAN,P9970370,53409853B5AC6E81F187                                                                                
SPNF SKB KOLAKA UTARA,P9959912,35DA282BEEC05681D003                                                                                
SPNF-SKB WILAYAH I,P9970517,3FC36E989EAF923AD854                                                                                
SKB KABUPATEN INDRAMAYU,P9970139,F4A4704C026B00FBC522                                                                                
SKB SUMEDANG,P9962780,D9917CD240600FE701EE                                                                                
Satuan Pendidikan NonFormal Sanggar Kegiatan Belajar (SKB) Kabupaten Solok Selat,P9957053,BA3A490CF91C2671BCC6                                                                                
SPNF SKB KABUPATEN TABANAN,P9963155,14C2AD2D27846926A214                                                                                
SKB NEGERI SURABAYA,P9984908,BB673DF913A3E92B6B07                                                                                
SKB KOTA AMBON,P9948387,219F3925B7125964FFD6                                                                                
SKB Balikpapan Selatan,P9952472,C36668BADB7D4C12A07A                                                                                
SPNF SKB ARGA MAKMUR,P9959751,F5E2E90E942CA84D494F                                                                                
SKB KABUPATEN LANGKAT,P9970689,1D7DABA4DBDF00D8B687                                                                                
SPNF SKB KEPAHIANG,P2963002,FB8AB758C0F3085F7092                                                                                
SPNF SKB Kota Denpasar,P9948229,906AC2A6BED6FD0D53A2                                                                                
SKB KAB. BANDUNG,P9963174,2549F453078B3C0F8739                                                                                
SKB KAB. BANGGAI KEPULAUAN,P9957029,572064C7ABB33C7A5280                                                                                
SKB INDRAGIRI HULU,P9952926,D55BDE5243AE0472BDC9                                                                                
SKB Kabupaten Padang Pariaman,P9948292,0755C4F2CB0FF6DD797E                                                                                
SPNF SKB DISDIKBUD KABUPATEN ACEH SINGKIL,P9970070,6D0D461FA1E3BDECC819                                                                                
SKB POLEWALI,P9954167,9BEF2D39D9A5AE8192DD                                                                                
SATUAN PENDIDIKAN NON FORMAL SKB KAB. PONOROGO,P9952733,A047D268A4513E3CF425                                                                                
SKB MUKOMUKO,P9970248,38FEAFA5F7750D20385B                                                                                
SKB KOTA TEGAL,P9959977,3439CD24D3C2DD325844                                                                                
SKB SURAKARTA,P9952751,7A9C5741BF98B520BB1C                                                                                
Satuan Pendidikan Nonformal SKB Tapanuli Tengah,P9959825,06E6BA51F5845521A52A                                                                                
SKB KOTA GORONTALO,P9948535,13067652FCA436180C00                                                                                
SPNF SKB KABUPATEN KARO,P9956966,BC990A150235B4D57E1C                                                                                
SKB Halmahera Barat,P9970006,4A536B03A664C0CF1C6A                                                                                
SKB MANOKWARI,P9954262,AB00AC7183F880C9B445                                                                                
SKB Bantaeng,P9948022,238586EBE7C6BB1A5942                                                                                
SPNF SKB HULU SUNGAI UTARA,P9969970,98A8A817F48430F95D43                                                                                
SKB KOTA BATAM,P9952456,55D0F13894640DC87160                                                                                
UPT Satuan Pendidikan Non Formal Sanggar Kegiatan Belajar (SKB),P9970656,C66E32C50C8BA8A705F9                                                                                
SKB MOJOKERTO,P9952734,E949EF755F5AA51CB01F                                                                                
SKB MASOHI,P9952815,A28C5E784896F9FD45D0                                                                                
SKB GUDO,P9948366,683B649FD8127279566F                                                                                
SPNF SKB KABUPATEN SIMEULUE,P9956883,20D7C93F423955B1600F                                                                                
SKB LEMBEAN TIMUR,P9952765,1D734C78B5129A1A4ED6                                                                                
SKB MUARA JAWA,P9952698,E6B5FF6B0C69D3EFCAEB                                                                                
SKB MORAMO,P9957068,01A1827793D15B73555E                                                                                
SPNF SKB KOTA BENGKULU,P9970237,38168693A47559A723E6                                                                                
SKB. KOTAWARINGIN BARAT,P9970158,17C0CDD8291696F4964A                                                                                
SANGGAR KEGIATAN BELAJAR KLU,P9959805,AF75F948F3E19A0E0CA9                                                                                
UPT SPNF KABUPATEN PURWOREJO,P9954174,87F82C7AA24BE3FA80AE                                                                                
SKB LEBONG,P9947980,5F876B71091D353E4509                                                                                
SKB Kabupaten Soppeng,P9945791,9B19E3F6DE14FBF0B8D5                                                                                
SKB RANOMEETO,P9956866,B02F3FAD0ED416DD22C2                                                                                
SKB - SPNF KOTA PADANGSIDIMPUAN,P9952505,995BF207528FC00448C3                                                                                
SKB ALOR,P9954292,934D7027807E036F2DD6                                                                                
SKB AJIBARANG,P9959723,2A304B46B624BC11574A                                                                                
SPNF TUMPAAN,P9984718,7CF4CDD3477C779B939F                                                                                
SPNF SKB KOTA SIBOLGA,P9948083,07BEA15040364D1DC6BC                                                                                
SKB TANJUNG JABUNG TIMUR,P9962675,6B122F4BC071AB940E18                                                                                
SKB ACEH BESAR,P9962872,F7085628687B6B89A47F                                                                                
SPNF SKB BIRINGKANAYA,P2970085,7E08119969CCE3A57326                                                                                
SANGGAR KEGIATAN BELAJAR KUALA KAPUAS,P9970298,8224A35D89CFB9C13B48                                                                                
SPNF MOTOLING,P9984799,280C8822915981426C7D                                                                                
SKB SPNF WILAYAH 1 KOTA PADANG,P9959889,B5DFBFCED6CBF896898B                                                                                
