rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,cluster
15,7,4,3,1,3,0,5,1,1,12,3,3,4,3,6,5,5,2,3,2,4,3,3,2,2,5,2,3,3,2,1,3,2,0,1,1,29,13,6,67,36,31,9,9,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4,4,2,2,0,0,0,0,1,1,0,0,0,0,4,4,1
26,13,0,0,1,0,1,8,3,3,16,4,1,13,7,7,4,7,7,5,4,5,5,7,4,6,4,6,3,10,4,6,4,8,3,4,3,17,19,5,136,84,52,13,13,1,1,0,0,0,0,1,1,1,1,1,1,1,1,3,3,0,0,0,0,0,0,1,1,1,1,0,0,20,20,0
10,6,0,0,0,0,0,0,0,3,1,3,4,5,5,7,3,2,2,2,4,2,1,2,1,0,0,3,1,1,0,0,0,1,0,0,0,19,4,7,42,25,17,4,4,1,1,0,1,0,0,1,1,1,1,1,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
12,12,0,0,0,0,0,0,0,1,9,2,0,1,0,2,0,2,1,9,5,11,1,5,4,5,2,4,0,5,6,7,3,5,2,2,2,3,10,2,84,58,26,13,13,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
8,6,0,0,0,0,0,0,0,1,5,2,0,3,7,3,3,0,0,3,1,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2,29,17,12,7,7,0,0,0,0,0,0,1,1,1,1,1,1,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1
10,2,4,4,0,4,0,8,5,0,4,0,2,2,1,3,1,0,0,1,0,2,3,1,0,1,0,0,1,0,1,2,1,0,0,1,0,6,4,2,21,13,8,4,4,0,0,0,0,0,0,1,1,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
18,3,0,0,1,0,1,0,0,3,3,3,2,0,0,1,5,0,1,2,3,1,3,3,1,3,1,4,1,5,4,0,0,3,2,1,1,40,6,5,45,23,22,13,13,0,0,0,0,0,0,1,1,1,1,0,0,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
15,6,0,0,0,3,0,0,0,2,5,3,1,0,0,1,2,2,2,1,0,3,1,1,0,1,2,5,0,4,0,2,1,1,1,0,1,6,7,4,31,21,10,12,12,2,2,0,0,0,0,1,1,1,1,2,2,1,1,4,4,2,2,0,0,0,0,1,1,0,0,0,0,3,3,1
11,11,0,0,0,0,0,0,0,3,9,1,0,0,0,5,3,2,0,3,1,8,4,5,5,5,1,8,3,5,3,2,3,6,1,2,2,2,12,1,77,51,26,14,14,1,1,0,0,0,0,1,1,1,1,0,0,1,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
13,11,0,1,0,0,0,0,2,0,12,0,0,0,0,3,3,1,1,0,1,10,8,5,7,4,4,8,7,6,5,4,3,4,3,3,4,4,12,0,94,48,46,5,5,1,1,0,0,0,0,1,1,1,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
6,6,0,0,1,0,2,2,0,4,5,2,3,1,5,1,1,3,0,1,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,21,11,10,6,6,1,1,1,1,0,0,1,1,1,1,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,22,22,1
25,7,0,0,1,0,1,0,0,0,8,2,0,1,1,1,1,1,0,1,3,3,3,0,0,4,6,3,6,4,1,4,1,8,4,3,2,3,8,2,61,33,28,8,8,1,1,1,1,0,0,1,1,1,1,1,1,1,1,4,4,1,1,0,0,0,0,1,1,0,0,0,0,2,2,1
7,1,4,4,2,4,4,5,4,0,3,0,2,0,0,0,2,2,0,2,0,1,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,2,3,2,12,8,4,3,3,0,0,0,0,0,0,1,1,1,1,1,1,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
10,7,0,0,0,0,0,0,0,1,5,2,1,2,2,0,0,1,0,2,1,1,0,0,1,0,2,1,2,1,0,0,0,0,1,0,0,22,6,3,18,8,10,3,3,1,1,1,1,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,3,3,1
17,10,0,0,0,0,0,0,0,1,9,1,0,16,11,7,4,2,6,6,1,5,3,5,4,4,4,8,4,4,3,3,0,1,1,0,0,4,10,1,102,61,41,11,11,1,1,0,0,0,0,1,1,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
11,7,0,0,0,0,0,0,0,2,5,0,1,6,1,2,1,2,0,1,0,1,1,3,1,1,1,3,1,0,2,0,0,3,0,1,0,4,7,1,31,23,8,6,6,0,0,0,0,0,0,1,1,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
12,7,1,0,1,0,0,1,1,1,7,1,1,1,2,8,6,4,1,3,1,1,3,1,2,2,5,2,3,2,0,4,1,0,3,2,3,8,8,2,60,30,30,8,8,1,1,0,0,0,0,1,1,1,1,1,1,1,1,2,2,0,0,0,0,1,1,1,1,2,2,1,1,2,2,1
19,19,0,0,0,0,0,0,0,7,12,0,3,1,7,4,0,2,3,3,1,5,2,2,3,10,3,5,3,5,2,3,3,11,2,9,4,7,19,3,93,60,33,8,8,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,4,4,0
9,6,0,0,0,0,0,0,0,0,6,2,1,0,1,5,3,3,1,4,0,6,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,14,6,3,31,22,9,7,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
14,14,0,0,0,0,1,1,1,9,6,5,5,5,4,7,4,4,2,3,3,10,3,3,0,2,3,2,2,1,0,1,1,4,1,0,0,6,15,10,65,42,23,12,12,1,1,0,0,0,0,1,1,1,1,0,0,1,1,4,4,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
12,12,5,10,0,9,0,12,0,1,10,1,1,2,2,0,0,4,5,3,4,9,1,6,2,4,2,4,2,9,6,0,0,5,3,6,0,8,11,2,79,52,27,5,5,1,1,0,0,0,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0
15,6,0,0,0,0,0,0,0,3,3,2,0,0,0,0,1,0,1,0,2,4,0,0,2,5,3,1,0,3,3,2,0,2,1,2,4,8,6,2,36,19,17,11,11,1,1,0,0,0,0,1,1,0,0,1,1,1,1,3,3,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
13,7,0,0,0,0,0,0,0,1,6,1,1,0,0,2,0,2,3,3,0,5,1,0,0,0,0,4,0,2,0,0,1,1,0,1,0,7,7,2,25,20,5,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1
40,0,0,0,0,0,0,2,0,5,12,4,3,1,0,5,2,3,2,3,3,8,5,7,2,4,2,11,7,7,2,9,5,8,2,4,3,2,17,7,105,70,35,15,15,1,1,0,0,0,0,1,1,1,1,1,1,1,1,6,6,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
21,4,1,0,1,2,1,6,0,8,11,0,1,10,7,11,11,5,11,10,2,20,4,6,9,9,8,15,3,6,4,8,5,8,6,8,3,8,19,1,189,116,73,15,15,1,1,0,0,0,0,1,1,1,1,0,0,0,0,5,5,1,1,0,0,0,0,1,1,1,1,0,0,14,14,2
49,15,3,0,3,0,3,7,0,13,24,4,1,0,0,11,10,5,6,7,8,7,8,7,1,8,2,5,5,9,2,5,5,8,5,7,4,3,37,5,135,79,56,12,12,1,1,3,3,0,0,1,1,0,0,1,1,1,1,6,6,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0
22,11,0,0,0,0,1,0,0,5,7,7,4,9,11,6,5,2,3,3,1,6,5,3,0,3,3,6,3,5,2,2,5,7,0,4,1,5,12,11,95,56,39,6,6,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,10,10,0
22,8,0,1,0,0,0,0,0,1,9,0,2,3,1,3,4,1,0,0,3,5,3,8,4,3,5,5,1,11,6,1,2,3,0,1,2,7,10,2,75,44,31,4,4,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
12,0,1,2,0,1,1,3,0,3,4,1,1,0,1,0,1,4,6,9,7,4,2,1,0,5,7,8,9,1,3,5,5,5,5,1,0,3,7,2,89,43,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
12,9,0,0,0,0,0,0,0,2,7,2,1,7,4,4,2,3,3,2,1,5,2,3,1,2,2,5,2,0,2,2,1,1,2,1,2,3,9,3,59,35,24,3,3,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,2,0,2,0,0,0,1,0,1,0,1,0,0,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1
10,5,0,0,0,0,0,0,0,0,4,0,2,0,0,3,1,2,0,3,1,4,0,5,2,1,2,2,2,0,0,2,0,2,1,1,1,2,4,2,35,25,10,10,12,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4,4,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
18,5,0,1,1,0,0,4,0,0,8,0,1,1,2,3,1,1,0,2,0,7,1,4,1,1,1,2,0,2,6,1,6,0,0,2,0,6,8,1,44,26,18,6,6,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,6,6,1
40,8,1,1,1,0,1,7,0,4,15,4,2,2,0,8,2,6,3,6,1,8,4,6,4,6,6,8,1,5,4,5,3,6,0,2,0,3,19,6,96,68,28,23,23,1,1,0,0,0,0,1,1,1,1,0,0,0,0,8,8,2,2,0,0,0,0,1,1,0,0,0,0,9,9,0
12,4,0,0,0,0,0,1,0,1,4,0,1,3,5,3,1,3,1,2,1,2,0,2,1,1,1,1,1,2,0,2,1,3,1,2,1,4,5,1,40,26,14,13,13,1,1,0,0,0,0,1,1,1,1,0,0,1,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,2,2,1
14,9,0,1,0,0,0,0,0,3,9,0,0,0,0,4,3,1,0,1,1,7,3,1,0,0,1,3,0,3,1,1,2,2,1,2,1,2,12,0,38,25,13,3,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
12,10,0,0,0,0,0,4,0,2,11,4,0,5,2,7,4,3,1,3,0,1,1,5,3,3,3,1,1,3,0,0,1,1,2,0,1,18,13,4,51,32,19,11,11,1,1,0,0,0,0,1,1,1,1,0,0,1,1,2,2,1,1,0,0,0,0,1,1,0,0,0,0,9,9,1
51,17,1,0,1,0,0,2,1,4,22,2,3,12,8,10,12,5,8,11,7,9,10,6,4,9,8,12,5,6,4,16,10,7,8,11,6,5,26,5,204,114,90,29,29,1,1,2,2,0,0,3,3,2,2,2,2,2,2,21,21,2,2,0,0,0,0,2,2,0,0,0,0,20,20,2
40,26,0,0,0,0,0,0,0,10,31,5,3,8,4,20,6,12,8,2,1,8,7,4,2,7,6,10,3,8,3,8,5,5,3,2,1,12,41,8,143,94,49,34,34,1,1,1,1,0,0,1,1,1,1,1,1,1,1,6,6,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0
11,0,0,0,0,0,0,4,0,4,3,2,0,0,0,4,4,3,0,5,1,1,3,6,2,2,2,1,3,0,4,0,1,2,3,5,0,3,7,2,52,29,23,4,4,1,1,0,0,0,0,1,1,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
13,6,0,0,0,0,0,0,0,0,5,1,0,0,0,11,5,1,2,5,3,0,0,1,0,2,0,0,1,1,1,0,0,0,1,0,0,10,5,1,34,21,13,6,6,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
27,2,1,0,0,0,1,2,1,2,4,0,0,0,0,0,0,3,2,2,4,6,0,0,1,3,0,3,3,5,4,3,1,2,2,1,1,2,6,0,46,28,18,2,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
16,9,0,0,0,0,0,0,0,2,5,0,4,1,1,1,1,2,0,1,1,3,6,3,5,1,2,4,4,3,1,3,2,1,7,1,2,10,7,4,58,25,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
12,12,0,0,0,0,0,0,0,4,9,2,1,4,1,8,8,8,3,6,8,12,6,4,4,2,6,7,2,7,5,4,3,5,3,3,4,10,13,3,123,70,53,8,8,1,1,0,0,0,0,1,1,1,1,1,1,1,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,17,17,0
12,10,0,0,1,0,0,4,0,4,9,3,1,4,0,3,3,2,3,2,0,1,4,2,0,0,2,5,1,1,2,2,2,2,1,0,1,18,13,4,43,24,19,12,12,1,1,0,0,0,0,1,1,0,0,0,0,0,0,3,3,1,1,0,0,0,0,1,1,0,0,0,0,5,5,1
20,4,0,0,0,1,0,0,0,0,5,2,1,3,2,4,3,1,2,1,1,1,0,2,0,1,0,2,1,0,0,1,2,2,0,1,1,8,5,3,31,19,12,5,5,0,0,0,0,0,0,1,1,1,1,1,1,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1
12,7,0,0,0,0,0,0,0,1,5,1,2,1,5,3,4,3,3,4,2,6,1,2,4,3,2,0,1,2,1,2,2,1,2,0,1,6,6,3,55,27,28,5,5,0,0,0,0,0,0,1,1,1,1,1,1,0,0,5,5,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
